Experiment 'schedule-test', execution 1 of gemm with dataset: MINI_DATASET, schedule: , chunk_size: , threads:  start at 08/11/2020-22:41:46
Experiment 'schedule-test', execution 2 of gemm with dataset: MINI_DATASET, schedule: , chunk_size: , threads:  start at 08/11/2020-22:41:50
Experiment 'schedule-test', execution 3 of gemm with dataset: MINI_DATASET, schedule: , chunk_size: , threads:  start at 08/11/2020-22:41:54
Experiment 'schedule-test', execution 4 of gemm with dataset: MINI_DATASET, schedule: , chunk_size: , threads:  start at 08/11/2020-22:41:58
Experiment 'schedule-test', execution 5 of gemm with dataset: MINI_DATASET, schedule: , chunk_size: , threads:  start at 08/11/2020-22:42:02
Experiment 'schedule-test', execution 6 of gemm with dataset: MINI_DATASET, schedule: , chunk_size: , threads:  start at 08/11/2020-22:42:05
Experiment 'schedule-test', execution 7 of gemm with dataset: MINI_DATASET, schedule: , chunk_size: , threads:  start at 08/11/2020-22:42:09
Experiment 'schedule-test', execution 8 of gemm with dataset: MINI_DATASET, schedule: , chunk_size: , threads:  start at 08/11/2020-22:42:13
Experiment 'schedule-test', execution 9 of gemm with dataset: MINI_DATASET, schedule: , chunk_size: , threads:  start at 08/11/2020-22:42:17
Experiment 'schedule-test', execution 10 of gemm with dataset: MINI_DATASET, schedule: , chunk_size: , threads:  start at 08/11/2020-22:42:21
Experiment 'schedule-test', execution 1 of gemm with dataset: MINI_DATASET, schedule: , chunk_size: , threads:  start at 08/11/2020-23:00:14
Experiment 'schedule-test', execution 2 of gemm with dataset: MINI_DATASET, schedule: , chunk_size: , threads:  start at 08/11/2020-23:00:18
Experiment 'schedule-test', execution 3 of gemm with dataset: MINI_DATASET, schedule: , chunk_size: , threads:  start at 08/11/2020-23:00:22
Experiment 'schedule-test', execution 4 of gemm with dataset: MINI_DATASET, schedule: , chunk_size: , threads:  start at 08/11/2020-23:00:26
Experiment 'schedule-test', execution 5 of gemm with dataset: MINI_DATASET, schedule: , chunk_size: , threads:  start at 08/11/2020-23:00:29
Experiment 'schedule-test', execution 6 of gemm with dataset: MINI_DATASET, schedule: , chunk_size: , threads:  start at 08/11/2020-23:00:33
Experiment 'schedule-test', execution 7 of gemm with dataset: MINI_DATASET, schedule: , chunk_size: , threads:  start at 08/11/2020-23:00:37
Experiment 'schedule-test', execution 1 of gemm with dataset: MINI_DATASET, schedule: , chunk_size: , threads:  start at 09/11/2020-00:15:09
Experiment 'schedule-test', execution 2 of gemm with dataset: MINI_DATASET, schedule: , chunk_size: , threads:  start at 09/11/2020-00:15:13
Experiment 'schedule-test', execution 1 of gemm with dataset: MINI_DATASET, schedule: , chunk_size: , threads:  start at 09/11/2020-00:18:02
Experiment 'schedule-test', execution 2 of gemm with dataset: MINI_DATASET, schedule: , chunk_size: , threads:  start at 09/11/2020-00:18:02
Experiment 'schedule-test', execution 3 of gemm with dataset: MINI_DATASET, schedule: , chunk_size: , threads:  start at 09/11/2020-00:18:02
Experiment 'schedule-test', execution 4 of gemm with dataset: MINI_DATASET, schedule: , chunk_size: , threads:  start at 09/11/2020-00:18:02
Experiment 'schedule-test', execution 5 of gemm with dataset: MINI_DATASET, schedule: , chunk_size: , threads:  start at 09/11/2020-00:18:02
Experiment 'schedule-test', execution 6 of gemm with dataset: MINI_DATASET, schedule: , chunk_size: , threads:  start at 09/11/2020-00:18:02
Experiment 'schedule-test', execution 7 of gemm with dataset: MINI_DATASET, schedule: , chunk_size: , threads:  start at 09/11/2020-00:18:02
Experiment 'schedule-test', execution 8 of gemm with dataset: MINI_DATASET, schedule: , chunk_size: , threads:  start at 09/11/2020-00:18:03
Experiment 'schedule-test', execution 9 of gemm with dataset: MINI_DATASET, schedule: , chunk_size: , threads:  start at 09/11/2020-00:18:03
Experiment 'schedule-test', execution 10 of gemm with dataset: MINI_DATASET, schedule: , chunk_size: , threads:  start at 09/11/2020-00:18:03
