Experiment 'schedule-test', execution 1 of gemm with dataset: TINY_DATASET, schedule: , chunk_size: , threads:  start at 08/11/2020-22:42:25
Experiment 'schedule-test', execution 1 of gemm with dataset: TINY_DATASET, schedule: , chunk_size: , threads:  start at 09/11/2020-00:18:03
Experiment 'schedule-test', execution 2 of gemm with dataset: TINY_DATASET, schedule: , chunk_size: , threads:  start at 09/11/2020-00:18:03
Experiment 'schedule-test', execution 3 of gemm with dataset: TINY_DATASET, schedule: , chunk_size: , threads:  start at 09/11/2020-00:18:03
Experiment 'schedule-test', execution 4 of gemm with dataset: TINY_DATASET, schedule: , chunk_size: , threads:  start at 09/11/2020-00:18:03
Experiment 'schedule-test', execution 5 of gemm with dataset: TINY_DATASET, schedule: , chunk_size: , threads:  start at 09/11/2020-00:18:03
Experiment 'schedule-test', execution 6 of gemm with dataset: TINY_DATASET, schedule: , chunk_size: , threads:  start at 09/11/2020-00:18:03
Experiment 'schedule-test', execution 7 of gemm with dataset: TINY_DATASET, schedule: , chunk_size: , threads:  start at 09/11/2020-00:18:03
Experiment 'schedule-test', execution 8 of gemm with dataset: TINY_DATASET, schedule: , chunk_size: , threads:  start at 09/11/2020-00:18:03
Experiment 'schedule-test', execution 9 of gemm with dataset: TINY_DATASET, schedule: , chunk_size: , threads:  start at 09/11/2020-00:18:03
Experiment 'schedule-test', execution 10 of gemm with dataset: TINY_DATASET, schedule: , chunk_size: , threads:  start at 09/11/2020-00:18:03
